name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_algorithm,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,KNN,0.7000096418317903,0.7529860606707726,0.750039394537336,0.7534198763694075,0.7534198763694075,0.7522120022433465,0.7537892509819379,0.7509344460139533
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,RandomForest,0.9899053724053726,0.989397416819292,0.9899757707570209,0.9872977239774117,0.989436288537851,0.9910448622557997,0.9894080528846155,0.9904779552045176
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,SVC,0.8789263585880261,0.9033497779921588,0.9018155815469937,0.9019832117493082,0.9019832117493082,0.9028711540407677,0.902551195071227,0.9033497779921588
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,DecisionTree,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,LogisticRegression,0.9433338943723406,0.9482521624663336,0.9462746165067103,0.9481078272424107,0.9481078272424107,0.9481833812108935,0.9476595212431776,0.9487100502118273
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,KNN,0.7186410026456108,0.7554851049790761,0.7543627228887405,0.7634251045087717,0.7634251045087717,0.7569876100566197,0.7579276621221034,0.7602560710549107
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,RandomForest,0.9899266445360195,0.9883283253205131,0.9872865314662193,0.9899651346916973,0.9888575530372407,0.9888788251678879,0.9888848506817258,0.9888681891025644
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Sex,200.0,0.048125,0.5199875,1.0839125,0.010525,0.5016875,0.6922125,22.780325,1.0,0.0,,,1.0,1.0,SVC,0.8919463788938624,0.9120911080167187,0.911795973175373,0.9100795095073475,0.9100795095073475,0.9147541674017081,0.9122511801764155,0.9131128525571446
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,DecisionTree,0.828255493187197,0.7984552568713754,0.780042272528353,0.7138602041703183,0.7135189326501552,0.7677793588248829,0.7749297059374116,0.7948640488098832
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,LogisticRegression,0.8045553888785922,0.7657958125942126,0.7807131756802329,0.7412943471311066,0.7390323983261133,0.765683453394672,0.7722432663467858,0.7657958125942126
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,KNN,0.6124836885524167,0.6244058699576555,0.6240795593250758,0.5881574630383709,0.587870821707425,0.6107772294549526,0.6190068693257278,0.6244058699576555
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,RandomForest,0.8321185580195751,0.7896518333280571,0.7840093509995526,0.7664764782247082,0.7605382244249229,0.7864157546872417,0.7925010005868824,0.7945387799420129
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,AdaBoost,0.6540420766744792,0.6584591820246506,0.6584591820246506,0.661997273176443,0.661997273176443,0.6618327200363465,0.6584591820246506,0.6584591820246506
drug,BP,200.0,0.499375,0.39226249999999996,1.4755875,0.03005,0.66425,1.0846875,3.790175,4.2467375,1.1861000000000002,0.631875,0.228725,3.0,6.0,SVC,0.7565978494964403,0.7198267376575125,0.7254775437286908,0.7151008792127003,0.7140141603212075,0.7295080936270525,0.7305105190300415,0.7198267376575125
drug,BP,200.0,0.44625,0.39807500000000007,1.416175,0.0271625,0.6641624999999999,1.0861,3.8322625,4.3051875,1.1895375,0.6156375,0.21456250000000002,3.0,6.0,DecisionTree,0.8373694557592282,0.8022978929694918,0.7954377120550492,0.7608033068549125,0.7684156758427636,0.7766940691291548,0.7843806337778239,0.8024909358608058
